SNR (dB);-8;-6;-4;-2;0;2;4;6;8;10;
FM;64;85;99;100;100;100;100;99;100;100;
FM;42;35;15;34;52;67;74;93;92;96;
FM;91;100;100;100;100;100;100;100;100;100;
FM;66;59;72;94;99;100;100;100;100;100;
FM;98;100;100;100;100;100;100;100;100;100;
FM;77;86;99;100;100;100;100;100;100;100;;
FM;99;100;100;100;100;100;100;100;100;100;
FM;82;98;100;100;100;100;100;100;100;100;
FM;36;100;100;100;100;100;100;100;100;100;
FM;83;100;100;100;100;100;100;100;100;100;
FM;3;81;100;100;100;100;100;100;100;100;
FM;14;99;100;100;100;100;100;100;100;100;
FM;37;33;37;40;28;50;39;41;45;42;

