LFM;1;17;18;10;13;8;39;58;74;92;
FM;0;0;1;0;0;0;0;1;1;3;
PSK;0;0;5;2;1;0;0;0;0;0;
NM;99;83;76;88;86;92;61;41;25;5;
LFM;1;7;25;31;64;77;98;97;97;97;
FM;0;0;0;0;1;1;2;3;3;3;
PSK;0;0;2;2;0;0;0;0;0;0;
NM;99;93;73;67;35;22;0;0;0;0;
LFM;23;89;95;98;98;98;99;97;99;97;
FM;0;0;0;1;0;2;1;3;1;3;
PSK;0;0;5;1;2;0;0;0;0;0;
NM;77;11;0;0;0;0;0;0;0;0;
LFM;36;85;92;95;95;99;99;99;98;99;
FM;0;0;5;3;2;1;1;1;2;1;
PSK;0;1;3;2;3;0;0;0;0;0;
NM;64;14;0;0;0;0;0;0;0;0;
LFM;2;0;1;1;16;17;55;97;98;98;
FM;0;0;0;0;0;0;0;1;1;2;
PSK;5;0;0;0;0;0;0;0;0;0;
NM;93;100;99;99;84;83;45;2;1;0;
LFM;0;0;9;39;88;98;99;99;96;100;
FM;0;0;0;0;0;0;0;1;4;0;
PSK;2;0;0;0;0;0;0;0;0;0;
NM;98;100;91;61;12;2;1;0;0;0;
LFM;0;23;99;100;99;100;100;100;98;100;
FM;0;0;0;0;1;0;0;0;2;0;
PSK;5;1;0;0;0;0;0;0;0;0;
NM;95;76;1;0;0;0;0;0;0;0;
LFM;24;92;100;99;100;100;98;97;98;99;
FM;0;0;0;1;0;0;2;3;2;1;
PSK;1;0;0;0;0;0;0;0;0;0;
NM;75;8;0;0;0;0;0;0;0;0;
LFM;52;100;100;99;98;98;98;97;100;98;
FM;0;0;0;1;2;2;2;3;0;2;
PSK;4;0;0;0;0;0;0;0;0;0;
NM;44;0;0;0;0;0;0;0;0;0;
LFM;1;0;0;3;11;16;65;99;99;100;
FM;0;0;0;0;0;0;0;0;1;0;
PSK;2;0;0;0;0;0;0;0;0;0;
NM;97;100;100;97;89;84;35;1;0;0;
LFM;1;0;21;63;99;100;98;99;99;98;
FM;0;0;1;0;1;0;2;1;1;2;
PSK;5;0;0;0;0;0;0;0;0;0;
NM;94;100;78;37;0;0;0;0;0;0;
LFM;1;76;100;100;100;100;99;100;99;99;
FM;0;0;0;0;0;0;1;0;1;1;
PSK;8;1;0;0;0;0;0;0;0;0;
NM;91;23;0;0;0;0;0;0;0;0;
LFM;3;78;100;100;100;100;99;99;96;100;
FM;0;0;0;0;0;0;1;1;4;0;
PSK;2;4;0;0;0;0;0;0;0;0;
NM;95;18;0;0;0;0;0;0;0;0;
LFM;47;99;100;99;99;97;99;100;97;100;
FM;1;1;0;1;1;3;1;0;3;0;
PSK;2;0;0;0;0;0;0;0;0;0;
NM;50;0;0;0;0;0;0;0;0;0;
LFM;51;100;99;100;99;99;100;100;97;98;
FM;0;0;1;0;1;1;0;0;3;2;
PSK;7;0;0;0;0;0;0;0;0;0;
NM;42;0;0;0;0;0;0;0;0;0;
LFM;2;0;0;0;21;34;100;100;100;100;
FM;0;0;0;0;0;0;0;0;0;0;
PSK;23;3;0;0;0;0;0;0;0;0;
NM;75;97;100;100;79;66;0;0;0;0;
LFM;4;2;71;99;100;100;100;100;100;100;
FM;0;0;0;0;0;0;0;0;0;0;
PSK;24;6;0;0;0;0;0;0;0;0;
NM;72;92;29;1;0;0;0;0;0;0;
LFM;5;93;100;100;100;100;100;100;100;100;
FM;0;0;0;0;0;0;0;0;0;0;
PSK;22;1;0;0;0;0;0;0;0;0;
NM;73;6;0;0;0;0;0;0;0;0;
LFM;4;99;100;100;100;100;100;100;100;100;
FM;0;0;0;0;0;0;0;0;0;0;
PSK;23;0;0;0;0;0;0;0;0;0;
NM;73;1;0;0;0;0;0;0;0;0;
LFM;25;100;100;100;100;100;100;100;100;100;
FM;1;0;0;0;0;0;0;0;0;0;
PSK;11;0;0;0;0;0;0;0;0;0;
NM;63;0;0;0;0;0;0;0;0;0;
LFM Tri. A;0;1;0;0;0;0;0;0;0;0;
LFM;93;100;100;100;100;100;100;100;100;100;
FM;0;0;0;0;0;0;0;0;0;0;
PSK;6;0;0;0;0;0;0;0;0;0;
NM;1;0;0;0;0;0;0;0;0;0;
LFM Tri. A;1;0;0;0;0;0;0;0;0;0;
LFM;95;99;100;100;100;100;100;100;100;100;
FM;0;0;0;0;0;0;0;0;0;0;
PSK;3;1;0;0;0;0;0;0;0;0;
NM;2;0;0;0;0;0;0;0;0;0;
LFM Tri. A;5;0;0;0;0;0;0;0;0;0;
LFM;100;100;100;100;100;100;100;100;100;100;
FM;0;0;0;0;0;0;0;0;0;0;
PSK;0;0;0;0;0;0;0;0;0;0;
NM;0;0;0;0;0;0;0;0;0;0;
LFM Tri. A;3;0;0;0;0;0;0;0;0;0;
LFM;100;100;100;100;100;100;100;100;100;100;
FM;0;0;0;0;0;0;0;0;0;0;
PSK;0;0;0;0;0;0;0;0;0;0;
NM;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;
LFM ;662;1458;1730;1836;2000;2041;2245;2338;2345;2375;
FM;2;1;8;7;9;10;13;18;29;20;
PSK;155;18;15;7;6;0;0;0;0;0;
NM;1572;922;647;550;385;349;142;44;26;5;
LFM Tri;9;0;0;0;0;0;0;0;0;0;
LFM ;0,275833333333333;0,6075;0,720833333333333;0,765;0,833333333333333;0,850416666666667;0,935416666666667;0,974166666666667;0,977083333333333;0,989583333333333;
